Title,Price,Rating,Availability,Category,price_category,in_stock
A Light in the Attic,51.77,3,In stock,Poetry,Premium,True
Tipping the Velvet,53.74,1,In stock,Historical Fiction,Premium,True
Soumission,50.1,1,In stock,Fiction,Premium,True
Sharp Objects,47.82,4,In stock,Mystery,Premium,True
Sapiens: A Brief History of Humankind,54.23,5,In stock,History,Premium,True
The Requiem Red,22.65,1,In stock,Young Adult,Mid-range,True
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,Business,Mid-range,True
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,Default,Budget,True
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,Default,Mid-range,True
The Black Maria,52.15,1,In stock,Poetry,Premium,True
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,Default,Budget,True
Shakespeare's Sonnets,20.66,4,In stock,Poetry,Mid-range,True
Set Me Free,17.46,5,In stock,Young Adult,Budget,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,Sequential Art,Premium,True
Rip it Up and Start Again,35.02,5,In stock,Music,Mid-range,True
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,Music,Premium,True
Olio,23.88,1,In stock,Poetry,Mid-range,True
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,Science Fiction,Mid-range,True
Libertarianism for Beginners,51.33,2,In stock,Politics,Premium,True
It's Only the Himalayas,45.17,2,In stock,Travel,Premium,True
In Her Wake,12.84,1,In stock,Thriller,Budget,True
How Music Works,37.32,2,In stock,Music,Mid-range,True
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,3,In stock,Food and Drink,Mid-range,True
Chase Me (Paris Nights #2),25.27,5,In stock,Romance,Mid-range,True
Black Dust,34.53,5,In stock,Romance,Mid-range,True
Birdsong: A Story in Pictures,54.64,3,In stock,Childrens,Premium,True
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,3,In stock,Default,Mid-range,True
Aladdin and His Wonderful Lamp,53.13,3,In stock,Default,Premium,True
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,5,In stock,Nonfiction,Premium,True
Wall and Piece,44.18,4,In stock,Art,Premium,True
The Four Agreements: A Practical Guide to Personal Freedom,17.66,5,In stock,Spirituality,Budget,True
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,In stock,Nonfiction,Mid-range,True
The Elephant Tree,23.82,5,In stock,Thriller,Mid-range,True
The Bear and the Piano,36.89,1,In stock,Childrens,Mid-range,True
Sophie's World,15.94,5,In stock,Philosophy,Budget,True
Penny Maybe,33.29,3,In stock,Default,Mid-range,True
Maude (1883-1993):She Grew Up with the country,18.02,2,In stock,Default,Budget,True
"In a Dark, Dark Wood",19.63,1,In stock,Mystery,Budget,True
Behind Closed Doors,52.22,4,In stock,Thriller,Premium,True
You can't bury them all: Poems,33.63,2,In stock,Poetry,Mid-range,True
Slow States of Collapse: Poems,57.31,3,In stock,Poetry,Premium,True
Reasons to Stay Alive,26.41,2,In stock,Nonfiction,Mid-range,True
Private Paris (Private #10),47.61,5,In stock,Fiction,Premium,True
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,5,In stock,Nonfiction,Mid-range,True
Without Borders (Wanderlove #1),45.07,2,In stock,New Adult,Premium,True
When We Collided,31.77,1,In stock,Contemporary,Mid-range,True
"We Love You, Charlie Freeman",50.27,5,In stock,Fiction,Premium,True
Untitled Collection: Sabbath Poems 2014,14.27,4,In stock,Poetry,Budget,True
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4,In stock,Nonfiction,Premium,True
Unicorn Tracks,18.78,3,In stock,Fantasy,Budget,True
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,1,In stock,History,Mid-range,True
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,In stock,Sequential Art,Budget,True
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3,In stock,Nonfiction,Mid-range,True
This One Summer,19.49,4,In stock,Sequential Art,Budget,True
Thirst,17.27,5,In stock,Fiction,Budget,True
The Torch Is Passed: A Harding Family Story,19.09,1,In stock,Add a comment,Budget,True
The Secret of Dreadwillow Carse,56.13,1,In stock,Childrens,Premium,True
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,1,In stock,Food and Drink,Premium,True
The Past Never Ends,56.5,4,In stock,Mystery,Premium,True
The Natural History of Us (The Fine Art of Pretending #2),45.22,3,In stock,Young Adult,Premium,True
The Nameless City (The Nameless City #1),38.16,4,In stock,Sequential Art,Mid-range,True
The Murder That Never Was (Forensic Instincts #5),54.11,3,In stock,Fiction,Premium,True
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,4,In stock,Science,Premium,True
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,4,In stock,Add a comment,Mid-range,True
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,3,In stock,Nonfiction,Budget,True
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,5,In stock,Default,Mid-range,True
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,1,In stock,Nonfiction,Mid-range,True
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,1,In stock,Nonfiction,Premium,True
The Death of Humanity: and the Case for Life,58.11,4,In stock,Philosophy,Premium,True
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3,In stock,Health,Premium,True
The Art Forger,40.76,3,In stock,Add a comment,Premium,True
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,1,In stock,History,Budget,True
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,5,In stock,Spirituality,Mid-range,True
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4,In stock,Nonfiction,Premium,True
Soul Reader,39.58,2,In stock,Default,Mid-range,True
Security,39.25,2,In stock,Horror,Mid-range,True
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,3,In stock,Fantasy,Mid-range,True
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,In stock,Sequential Art,Premium,True
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2,In stock,Nonfiction,Budget,True
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,In stock,Sequential Art,Premium,True
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,In stock,Sequential Art,Budget,True
Princess Between Worlds (Wide-Awake Princess #5),13.34,5,In stock,Fantasy,Budget,True
"Pop Gun War, Volume 1: Gift",18.97,1,In stock,Sequential Art,Budget,True
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,2,In stock,History,Mid-range,True
Patience,10.16,3,In stock,Sequential Art,Budget,True
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,In stock,Sequential Art,Budget,True
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,In stock,Sequential Art,Premium,True
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,1,In stock,Self Help,Premium,True
On a Midnight Clear,14.07,3,In stock,Add a comment,Budget,True
Obsidian (Lux #1),14.86,2,In stock,Young Adult,Budget,True
My Paris Kitchen: Recipes and Stories,33.37,2,In stock,Food and Drink,Mid-range,True
Masks and Shadows,56.4,2,In stock,Fantasy,Premium,True
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,4,In stock,Food and Drink,Budget,True
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,In stock,Sequential Art,Premium,True
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,In stock,Sequential Art,Premium,True
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,In stock,Sequential Art,Budget,True
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,1,In stock,Food and Drink,Premium,True
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,2,In stock,Add a comment,Premium,True
Join,35.67,5,In stock,Science Fiction,Mid-range,True
In the Country We Love: My Family Divided,22.0,4,In stock,Nonfiction,Mid-range,True
